epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.3	18.1	2.15e+02	19.2
2	0:0	0.1	1.73	31.7	1.83e+02	30.3
3	0:0	0.1	1.59	38.6	1.58e+02	40.9
4	0:0	0.1	1.44	46.0	1.4e+02	47.9
5	0:0	0.1	1.32	51.9	1.27e+02	55.3
6	0:0	0.1	1.24	55.0	1.26e+02	55.4
7	0:0	0.1	1.18	57.9	1.15e+02	60.0
8	0:0	0.1	1.1	61.2	1.04e+02	63.5
9	0:0	0.1	1.06	62.9	1.08e+02	62.7
10	0:0	0.1	1.02	64.7	1.04e+02	64.0
11	0:0	0.1	0.98	66.0	96.6	67.1
12	0:0	0.1	0.945	67.5	1.01e+02	65.8
13	0:0	0.1	0.912	68.8	91.9	68.6
14	0:0	0.1	0.881	69.8	88.7	69.7
15	0:0	0.1	0.861	70.6	86.2	70.4
16	0:0	0.1	0.843	71.4	86.2	70.3
17	0:0	0.1	0.824	72.1	87.8	70.3
18	0:0	0.1	0.801	72.8	91.2	69.6
19	0:0	0.1	0.782	73.4	80.3	73.2
20	0:0	0.1	0.766	74.2	80.5	72.3
21	0:0	0.1	0.747	74.7	78.1	73.7
22	0:0	0.1	0.734	75.2	74.6	74.9
23	0:0	0.1	0.725	75.5	77.3	73.7
24	0:0	0.1	0.712	75.9	77.9	74.2
25	0:0	0.1	0.705	76.3	75.4	74.8
26	0:0	0.1	0.691	76.6	73.0	75.9
27	0:0	0.1	0.677	77.2	75.8	74.5
28	0:0	0.1	0.671	77.4	69.5	76.7
29	0:0	0.1	0.664	77.8	74.0	75.6
30	0:0	0.001	0.659	77.9	77.6	75.0
31	0:0	0.01	0.643	78.2	72.9	76.5
32	0:0	0.01	0.638	78.4	70.9	76.3
33	0:0	0.01	0.625	79.1	79.2	75.2
34	0:0	0.01	0.623	79.0	69.0	77.0
35	0:0	0.01	0.619	79.4	70.3	76.5
36	0:0	0.01	0.608	79.7	66.4	77.6
37	0:0	0.01	0.602	79.8	73.1	76.0
38	0:0	0.01	0.59	80.0	70.2	76.8
39	0:0	0.01	0.604	80.0	81.9	73.7
40	0:0	0.01	0.586	80.5	68.5	77.4
41	0:0	0.01	0.578	80.6	65.0	78.5
42	0:0	0.01	0.574	80.7	64.4	78.7
43	0:0	0.01	0.575	80.8	66.0	77.9
44	0:0	0.01	0.558	81.2	64.9	78.5
45	0:0	0.01	0.562	81.2	67.9	77.6
46	0:0	0.01	0.554	81.6	64.1	79.3
47	0:0	0.01	0.551	81.5	70.2	76.9
48	0:0	0.01	0.544	81.7	60.9	79.9
49	0:0	0.01	0.539	81.9	63.3	79.5
50	0:0	0.01	0.534	82.0	62.2	79.5
51	0:0	0.01	0.536	81.9	62.5	78.8
52	0:0	0.01	0.525	82.3	60.8	79.8
