epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.3	17.9	1.93e+02	22.0
1	0:0	0.1	1.93	22.6	1.88e+02	24.1
2	0:0	0.1	1.75	30.5	1.78e+02	31.4
3	0:0	0.1	1.56	40.1	1.59e+02	41.5
4	0:0	0.1	1.42	47.4	1.43e+02	48.8
5	0:0	0.1	1.3	52.8	1.32e+02	52.5
6	0:0	0.1	1.22	56.1	1.3e+02	53.3
7	0:0	0.1	1.15	58.8	1.14e+02	59.5
8	0:0	0.1	1.09	61.2	1.15e+02	59.3
9	0:0	0.1	1.06	62.6	1.07e+02	62.4
10	0:0	0.1	1.01	64.9	1.01e+02	64.8
11	0:0	0.1	0.975	66.1	96.6	66.7
12	0:0	0.1	0.936	67.7	93.0	68.0
13	0:0	0.1	0.906	68.6	91.4	68.3
14	0:0	0.1	0.89	69.5	87.9	69.8
15	0:0	0.1	0.85	70.8	95.8	67.8
16	0:0	0.1	0.835	71.6	85.5	71.4
17	0:0	0.1	0.816	72.3	83.1	71.7
18	0:0	0.1	0.797	73.1	87.0	70.9
19	0:0	0.1	0.784	73.3	79.6	73.5
20	0:0	0.1	0.759	74.5	85.4	71.3
21	0:0	0.1	0.747	74.8	82.5	73.2
22	0:0	0.1	0.733	75.2	76.8	74.4
23	0:0	0.1	0.717	75.7	81.0	72.6
24	0:0	0.1	0.709	76.2	84.8	72.0
25	0:0	0.1	0.697	76.7	74.3	75.2
26	0:0	0.1	0.685	77.0	72.2	75.7
27	0:0	0.1	0.672	77.5	72.4	75.7
28	0:0	0.1	0.654	77.9	72.4	76.0
29	0:0	0.1	0.649	78.2	73.0	75.7
30	0:0	0.001	0.649	78.2	75.1	74.4
31	0:0	0.01	0.632	78.9	71.6	76.7
32	0:0	0.01	0.626	79.2	75.2	74.7
33	0:0	0.01	0.623	79.1	73.7	76.2
34	0:0	0.01	0.604	79.8	69.3	77.3
35	0:0	0.01	0.598	80.1	68.5	78.0
36	0:0	0.01	0.596	80.0	66.8	77.5
37	0:0	0.01	0.59	80.4	64.7	78.8
38	0:0	0.01	0.583	80.5	67.5	78.1
39	0:0	0.01	0.58	80.5	65.6	78.3
40	0:0	0.01	0.573	80.7	69.0	77.5
41	0:0	0.01	0.565	81.0	67.8	77.7
42	0:0	0.01	0.559	81.4	65.8	78.1
43	0:0	0.01	0.548	81.6	68.6	77.7
44	0:0	0.01	0.551	81.2	67.1	78.5
45	0:0	0.01	0.539	81.9	69.0	78.0
46	0:0	0.01	0.537	81.9	64.7	79.1
47	0:0	0.01	0.537	81.9	63.3	79.5
48	0:0	0.01	0.525	82.4	63.0	79.0
49	0:0	0.01	0.521	82.5	61.6	79.4
50	0:0	0.01	0.524	82.5	64.1	78.9
51	0:0	0.01	0.515	82.7	65.0	78.8
52	0:0	0.01	0.51	82.7	62.6	79.3
53	0:0	0.01	0.511	82.9	63.4	79.4
54	0:0	0.01	0.501	83.1	62.5	79.9
55	0:0	0.01	0.5	83.2	62.4	79.2
56	0:0	0.01	0.498	83.2	59.1	80.5
57	0:0	0.01	0.493	83.3	60.4	80.1
58	0:0	0.01	0.489	83.4	62.7	79.5
59	0:0	0.01	0.487	83.6	60.5	80.3
60	0:0	0.0001	0.481	83.8	60.9	80.1
61	0:0	0.001	0.476	83.9	65.6	78.8
62	0:0	0.001	0.476	83.9	64.3	79.4
63	0:0	0.001	0.474	83.9	60.1	80.5
64	0:0	0.001	0.468	84.3	62.2	79.8
65	0:0	0.001	0.467	84.2	60.9	80.0
66	0:0	0.001	0.461	84.4	55.9	81.8
67	0:0	0.001	0.462	84.4	64.5	79.1
68	0:0	0.001	0.457	84.6	60.3	80.8
69	0:0	0.001	0.456	84.8	59.9	80.5
70	0:0	0.001	0.456	84.6	60.2	80.5
71	0:0	0.001	0.451	84.7	59.3	81.0
72	0:0	0.001	0.449	84.8	57.3	81.0
73	0:0	0.001	0.445	85.0	59.2	80.6
74	0:0	0.001	0.441	85.0	57.9	81.1
75	0:0	0.001	0.439	85.2	57.4	80.9
76	0:0	0.001	0.439	85.3	58.9	80.8
77	0:0	0.001	0.433	85.3	59.4	81.0
78	0:0	0.001	0.433	85.2	60.4	80.2
79	0:0	0.001	0.433	85.4	56.7	81.2
80	0:0	0.001	0.434	85.3	57.2	81.9
81	0:0	0.001	0.429	85.5	59.9	81.3
82	0:0	0.001	0.424	85.7	60.5	81.7
83	0:0	0.001	0.427	85.7	58.4	81.0
84	0:0	0.001	0.42	85.7	59.2	80.8
85	0:0	0.001	0.421	85.8	57.8	81.6
86	0:0	0.001	0.415	85.9	58.5	81.0
87	0:0	0.001	0.411	86.1	56.9	81.8
88	0:0	0.001	0.416	85.7	56.2	81.8
89	0:0	0.001	0.41	86.2	60.5	81.1
